=== РЕЗУЛЬТАТЫ ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ ===
Фиксированный порог поддержки (min_support): 1.0%

Порог достоверности (min_confidence): 10%
Время генерации: 0.0000 сек.
Найдено правил: 333
Найденные правила (антецедент -> консеквент):
  {креветки} -> {яйца} | поддержка: 0.0141, достоверность: 0.1978
  {торт} -> {зеленый чай} | поддержка: 0.0141, достоверность: 0.1743
  {говяжий фарш} -> {оливковое масло} | поддержка: 0.0141, достоверность: 0.1438
  {зеленый чай} -> {торт} | поддержка: 0.0141, достоверность: 0.1070
  {молоко, шоколад} -> {минеральная вода} | поддержка: 0.0140, достоверность: 0.4357
  {минеральная вода, молоко} -> {шоколад} | поддержка: 0.0140, достоверность: 0.2917
  {минеральная вода, шоколад} -> {молоко} | поддержка: 0.0140, достоверность: 0.2658
  {помидоры} -> {молоко} | поддержка: 0.0140, достоверность: 0.2047
  {помидоры} -> {шоколад} | поддержка: 0.0140, достоверность: 0.2047
  {рис} -> {яйца} | поддержка: 0.0140, достоверность: 0.1842
  {молоко} -> {минеральная вода, шоколад} | поддержка: 0.0140, достоверность: 0.1080
  {молоко} -> {помидоры} | поддержка: 0.0140, достоверность: 0.1080
  {говяжий фарш} -> {картофель-фри} | поддержка: 0.0139, достоверность: 0.1411
  {лосось} -> {макароны} | поддержка: 0.0137, достоверность: 0.3229
  {растительное масло} -> {шоколад} | поддержка: 0.0136, достоверность: 0.2663
  {торт} -> {шоколад} | поддержка: 0.0136, достоверность: 0.1678
  {шоколад, яйца} -> {минеральная вода} | поддержка: 0.0135, достоверность: 0.4056
  {минеральная вода, яйца} -> {шоколад} | поддержка: 0.0135, достоверность: 0.2644
  {минеральная вода, шоколад} -> {яйца} | поддержка: 0.0135, достоверность: 0.2557
  {блинчики} -> {замороженные овощи} | поддержка: 0.0135, достоверность: 0.1417
  {замороженные овощи} -> {блинчики} | поддержка: 0.0135, достоверность: 0.1413
  {свежий хлеб} -> {минеральная вода} | поддержка: 0.0133, достоверность: 0.3096
  {низкокалорийный йогурт} -> {картофель-фри} | поддержка: 0.0133, достоверность: 0.1742
  {печенье} -> {картофель-фри} | поддержка: 0.0133, достоверность: 0.1658
  {торт} -> {молоко} | поддержка: 0.0133, достоверность: 0.1645
  {молоко} -> {торт} | поддержка: 0.0133, достоверность: 0.1029
  {низкокалорийный йогурт} -> {молоко} | поддержка: 0.0132, достоверность: 0.1725
  {молоко} -> {низкокалорийный йогурт} | поддержка: 0.0132, достоверность: 0.1019
  {молоко, яйца} -> {минеральная вода} | поддержка: 0.0131, достоверность: 0.4242
  {минеральная вода, молоко} -> {яйца} | поддержка: 0.0131, достоверность: 0.2722
  {минеральная вода, яйца} -> {молоко} | поддержка: 0.0131, достоверность: 0.2565
  {молоко} -> {минеральная вода, яйца} | поддержка: 0.0131, достоверность: 0.1008
  {мед} -> {макароны} | поддержка: 0.0128, достоверность: 0.2697
  {травы и перец} -> {яйца} | поддержка: 0.0125, достоверность: 0.2534
  {рис} -> {зеленый чай} | поддержка: 0.0124, достоверность: 0.1632
  {замороженные овощи, макароны} -> {минеральная вода} | поддержка: 0.0123, достоверность: 0.4340
  {замороженные овощи, минеральная вода} -> {макароны} | поддержка: 0.0123, достоверность: 0.3433
  {макароны, минеральная вода} -> {замороженные овощи} | поддержка: 0.0123, достоверность: 0.2004
  {помидоры} -> {зеленый чай} | поддержка: 0.0123, достоверность: 0.1793
  {помидоры} -> {яйца} | поддержка: 0.0123, достоверность: 0.1793
  {рис} -> {говяжий фарш} | поддержка: 0.0123, достоверность: 0.1614
  {замороженные овощи} -> {макароны, минеральная вода} | поддержка: 0.0123, достоверность: 0.1287
  {говяжий фарш} -> {рис} | поддержка: 0.0123, достоверность: 0.1248
  {оливковое масло} -> {яйца} | поддержка: 0.0120, достоверность: 0.1822
  {помидоры} -> {картофель-фри} | поддержка: 0.0120, достоверность: 0.1754
  {печенье} -> {зеленый чай} | поддержка: 0.0120, достоверность: 0.1493
  {гамбургер} -> {говяжий фарш} | поддержка: 0.0120, достоверность: 0.1376
  {говяжий фарш} -> {гамбургер} | поддержка: 0.0120, достоверность: 0.1221
  {курица} -> {зеленый чай} | поддержка: 0.0119, достоверность: 0.1978
  {индейка} -> {зеленый чай} | поддержка: 0.0119, достоверность: 0.1898
  {торт} -> {блинчики} | поддержка: 0.0119, достоверность: 0.1464
  {блинчики} -> {торт} | поддержка: 0.0119, достоверность: 0.1248
  {блинчики, макароны} -> {минеральная вода} | поддержка: 0.0117, достоверность: 0.4583
  {блинчики, минеральная вода} -> {макароны} | поддержка: 0.0117, достоверность: 0.3478
  {растительное масло} -> {яйца} | поддержка: 0.0117, достоверность: 0.2298
  {макароны, минеральная вода} -> {блинчики} | поддержка: 0.0117, достоверность: 0.1917
  {помидоры} -> {говяжий фарш} | поддержка: 0.0117, достоверность: 0.1715
  {блинчики} -> {макароны, минеральная вода} | поддержка: 0.0117, достоверность: 0.1234
  {говяжий фарш} -> {помидоры} | поддержка: 0.0117, достоверность: 0.1194
  {авокадо} -> {минеральная вода} | поддержка: 0.0116, достоверность: 0.3480
  {шампанское} -> {шоколад} | поддержка: 0.0116, достоверность: 0.2479
  {растительное масло} -> {молоко} | поддержка: 0.0115, достоверность: 0.2245
  {креветки} -> {говяжий фарш} | поддержка: 0.0115, достоверность: 0.1604
  {креветки} -> {зеленый чай} | поддержка: 0.0115, достоверность: 0.1604
  {торт} -> {гамбургер} | поддержка: 0.0115, достоверность: 0.1414
  {гамбургер} -> {торт} | поддержка: 0.0115, достоверность: 0.1315
  {говяжий фарш} -> {креветки} | поддержка: 0.0115, достоверность: 0.1167
  {тертый сыр} -> {говяжий фарш} | поддержка: 0.0113, достоверность: 0.2163
  {индейка} -> {молоко} | поддержка: 0.0113, достоверность: 0.1812
  {индейка} -> {шоколад} | поддержка: 0.0113, достоверность: 0.1812
  {оливковое масло} -> {замороженные овощи} | поддержка: 0.0113, достоверность: 0.1721
  {замороженные овощи} -> {оливковое масло} | поддержка: 0.0113, достоверность: 0.1189
  {говяжий фарш} -> {тертый сыр} | поддержка: 0.0113, достоверность: 0.1153
  {молоко, шоколад} -> {макароны} | поддержка: 0.0112, достоверность: 0.3485
  {макароны, молоко} -> {шоколад} | поддержка: 0.0112, достоверность: 0.3032
  {макароны, шоколад} -> {молоко} | поддержка: 0.0112, достоверность: 0.2745
  {замороженный смузи} -> {зеленый чай} | поддержка: 0.0112, достоверность: 0.1768
  {помидоры} -> {креветки} | поддержка: 0.0112, достоверность: 0.1637
  {креветки} -> {помидоры} | поддержка: 0.0112, достоверность: 0.1567
  {говяжий фарш, молоко} -> {минеральная вода} | поддержка: 0.0111, достоверность: 0.5030
  {замороженные овощи, молоко} -> {минеральная вода} | поддержка: 0.0111, достоверность: 0.4689
  {замороженные овощи, минеральная вода} -> {молоко} | поддержка: 0.0111, достоверность: 0.3097
  {говяжий фарш, минеральная вода} -> {молоко} | поддержка: 0.0111, достоверность: 0.2704
  {минеральная вода, молоко} -> {говяжий фарш} | поддержка: 0.0111, достоверность: 0.2306
  {минеральная вода, молоко} -> {замороженные овощи} | поддержка: 0.0111, достоверность: 0.2306
  {курица} -> {картофель-фри} | поддержка: 0.0111, достоверность: 0.1844
  {замороженный смузи} -> {яйца} | поддержка: 0.0111, достоверность: 0.1747
  {рис} -> {замороженные овощи} | поддержка: 0.0111, достоверность: 0.1456
  {эскалоп} -> {яйца} | поддержка: 0.0111, достоверность: 0.1395
  {замороженные овощи} -> {минеральная вода, молоко} | поддержка: 0.0111, достоверность: 0.1161
  {замороженные овощи} -> {рис} | поддержка: 0.0111, достоверность: 0.1161
  {говяжий фарш} -> {минеральная вода, молоко} | поддержка: 0.0111, достоверность: 0.1126
  {говяжий фарш, шоколад} -> {минеральная вода} | поддержка: 0.0109, достоверность: 0.4740
  {красное вино} -> {минеральная вода} | поддержка: 0.0109, достоверность: 0.3886
  {шоколад, яйца} -> {макароны} | поддержка: 0.0109, достоверность: 0.3293
  {макароны, яйца} -> {шоколад} | поддержка: 0.0109, достоверность: 0.2828
  {макароны, шоколад} -> {яйца} | поддержка: 0.0109, достоверность: 0.2680
  {говяжий фарш, минеральная вода} -> {шоколад} | поддержка: 0.0109, достоверность: 0.2671
  {тертый сыр} -> {шоколад} | поддержка: 0.0109, достоверность: 0.2087
  {минеральная вода, шоколад} -> {говяжий фарш} | поддержка: 0.0109, достоверность: 0.2076
  {говяжий фарш} -> {минеральная вода, шоколад} | поддержка: 0.0109, достоверность: 0.1113
  {оливковое масло} -> {блинчики} | поддержка: 0.0108, достоверность: 0.1640
  {блинчики} -> {оливковое масло} | поддержка: 0.0108, достоверность: 0.1136
  {макароны, оливковое масло} -> {минеральная вода} | поддержка: 0.0107, достоверность: 0.4494
  {минеральная вода, оливковое масло} -> {макароны} | поддержка: 0.0107, достоверность: 0.3865
  {лосось} -> {шоколад} | поддержка: 0.0107, достоверность: 0.2508
  {макароны, минеральная вода} -> {оливковое масло} | поддержка: 0.0107, достоверность: 0.1743
  {индейка} -> {гамбургер} | поддержка: 0.0107, достоверность: 0.1706
  {индейка} -> {картофель-фри} | поддержка: 0.0107, достоверность: 0.1706
  {оливковое масло} -> {макароны, минеральная вода} | поддержка: 0.0107, достоверность: 0.1619
  {гамбургер} -> {индейка} | поддержка: 0.0107, достоверность: 0.1223
  {креветки} -> {блинчики} | поддержка: 0.0105, достоверность: 0.1474
  {печенье} -> {яйца} | поддержка: 0.0105, достоверность: 0.1310
  {гамбургер} -> {блинчики} | поддержка: 0.0105, достоверность: 0.1208
  {гамбургер} -> {замороженные овощи} | поддержка: 0.0105, достоверность: 0.1208
  {блинчики} -> {гамбургер} | поддержка: 0.0105, достоверность: 0.1108
  {блинчики} -> {креветки} | поддержка: 0.0105, достоверность: 0.1108
  {замороженные овощи} -> {гамбургер} | поддержка: 0.0105, достоверность: 0.1105
  {перец} -> {макароны} | поддержка: 0.0104, достоверность: 0.3920
  {красное вино} -> {макароны} | поддержка: 0.0104, достоверность: 0.3697
  {картофель-фри, макароны} -> {минеральная вода} | поддержка: 0.0104, достоверность: 0.3451
  {картофель-фри, минеральная вода} -> {макароны} | поддержка: 0.0104, достоверность: 0.3083
  {тертый сыр} -> {картофель-фри} | поддержка: 0.0104, достоверность: 0.1985
